"id","year","marstat","emergency_savings","married"
2,2012,1,1,1
3,2012,1,0,1
6,2012,1,1,1
8,2012,1,0,1
9,2012,1,1,1
14,2012,3,1,0
15,2012,1,1,1
16,2012,3,0,0
17,2012,3,0,0
18,2012,3,1,0
20,2012,1,1,1
21,2012,1,1,1
22,2012,3,1,0
25,2012,1,0,1
26,2012,1,1,1
27,2012,1,1,1
29,2012,1,1,1
30,2012,1,0,1
31,2012,1,1,1
33,2012,0,0,0
34,2012,3,0,0
36,2012,1,0,1
37,2012,1,0,1
38,2012,1,0,1
39,2012,1,1,1
40,2012,1,1,1
41,2012,1,1,1
42,2012,1,0,1
43,2012,3,0,0
44,2012,1,1,1
47,2012,1,1,1
49,2012,1,1,1
50,2012,1,0,1
52,2012,3,1,0
53,2012,0,0,0
57,2012,3,0,0
58,2012,1,1,1
59,2012,1,1,1
60,2012,1,1,1
61,2012,1,0,1
62,2012,3,0,0
63,2012,1,0,1
66,2012,3,0,0
67,2012,1,1,1
68,2012,1,1,1
69,2012,1,1,1
70,2012,3,0,0
72,2012,0,1,0
75,2012,1,1,1
76,2012,1,0,1
77,2012,0,1,0
80,2012,0,1,0
83,2012,0,0,0
84,2012,3,0,0
85,2012,0,0,0
86,2012,0,0,0
87,2012,0,0,0
88,2012,1,1,1
90,2012,1,1,1
91,2012,1,0,1
92,2012,3,1,0
93,2012,3,0,0
94,2012,1,0,1
95,2012,3,0,0
96,2012,1,1,1
97,2012,1,1,1
98,2012,1,0,1
99,2012,1,0,1
100,2012,3,0,0
102,2012,1,1,1
103,2012,3,0,0
105,2012,3,1,0
106,2012,1,1,1
107,2012,1,0,1
108,2012,1,1,1
110,2012,1,0,1
111,2012,1,0,1
112,2012,6,1,0
117,2012,1,0,1
119,2012,0,1,0
120,2012,0,0,0
121,2012,0,0,0
122,2012,1,0,1
124,2012,3,0,0
126,2012,1,0,1
128,2012,2,0,0
129,2012,0,1,0
133,2012,1,0,1
135,2012,1,1,1
136,2012,0,0,0
137,2012,1,0,1
138,2012,1,1,1
139,2012,2,1,0
140,2012,1,1,1
141,2012,1,0,1
142,2012,1,1,1
144,2012,1,0,1
145,2012,0,0,0
146,2012,3,1,0
147,2012,1,0,1
148,2012,0,1,0
149,2012,1,1,1
150,2012,0,0,0
152,2012,1,1,1
153,2012,3,0,0
155,2012,3,0,0
156,2012,3,0,0
157,2012,1,1,1
158,2012,1,1,1
160,2012,1,1,1
161,2012,1,1,1
164,2012,1,0,1
165,2012,1,0,1
166,2012,1,0,1
168,2012,3,0,0
169,2012,0,0,0
171,2012,1,1,1
172,2012,0,0,0
174,2012,1,1,1
175,2012,3,0,0
178,2012,1,1,1
179,2012,1,0,1
181,2012,1,1,1
182,2012,0,0,0
184,2012,1,1,1
185,2012,0,0,0
186,2012,2,0,0
188,2012,2,0,0
189,2012,0,1,0
190,2012,3,1,0
191,2012,1,0,1
192,2012,1,1,1
193,2012,1,0,1
195,2012,1,0,1
197,2012,3,0,0
198,2012,1,0,1
199,2012,1,0,1
200,2012,1,1,1
201,2012,1,1,1
202,2012,0,0,0
204,2012,1,0,1
205,2012,1,0,1
210,2012,1,1,1
211,2012,1,0,1
212,2012,1,0,1
214,2012,1,1,1
218,2012,1,1,1
219,2012,1,1,1
220,2012,3,1,0
221,2012,0,1,0
222,2012,0,0,0
223,2012,1,0,1
224,2012,0,0,0
227,2012,3,0,0
228,2012,1,0,1
229,2012,2,1,0
230,2012,0,1,0
231,2012,1,0,1
232,2012,0,1,0
233,2012,1,0,1
234,2012,1,0,1
235,2012,1,1,1
236,2012,1,0,1
237,2012,3,0,0
239,2012,6,0,0
240,2012,1,1,1
242,2012,1,1,1
243,2012,1,0,1
244,2012,1,0,1
245,2012,1,1,1
247,2012,1,0,1
248,2012,3,0,0
249,2012,1,1,1
250,2012,1,0,1
251,2012,1,0,1
252,2012,1,0,1
253,2012,1,0,1
254,2012,3,1,0
255,2012,1,0,1
256,2012,3,0,0
257,2012,3,0,0
258,2012,2,1,0
259,2012,1,0,1
260,2012,1,1,1
261,2012,1,1,1
265,2012,1,0,1
267,2012,0,0,0
268,2012,3,0,0
269,2012,1,1,1
272,2012,1,0,1
273,2012,1,0,1
