"id","sex","race_ethnicity","education","completed_fertility","birth_control_education_male","birth_control_education_female","birth_control_education","first_birth_month","first_birth_year","fin_lit_score_mean","fin_lit_waves","ever_emergency_savings","emergency_savings_waves"
1,"Female","Non-Black, non-Hispanic",12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Female","Non-Black, non-Hispanic",12,2,NA,0,0,3,1993,2,1,1,2
3,"Female","Non-Black, non-Hispanic",12,3,NA,0,0,6,1981,1,1,0,2
4,"Female","Non-Black, non-Hispanic",14,2,NA,0,0,8,1980,4,1,0,2
5,"Male","Non-Black, non-Hispanic",18,1,0,NA,0,5,1989,NA,NA,NA,NA
6,"Male","Non-Black, non-Hispanic",16,3,0,NA,0,8,1991,5,1,1,2
7,"Male","Non-Black, non-Hispanic",12,2,0,NA,0,3,1990,NA,NA,NA,NA
8,"Female","Non-Black, non-Hispanic",14,3,NA,0,0,3,1976,4,1,1,2
9,"Male","Non-Black, non-Hispanic",14,2,0,NA,0,3,1991,2,1,1,1
10,"Female","Non-Black, non-Hispanic",9,2,NA,0,0,1,1983,NA,NA,1,1
11,"Male","Non-Black, non-Hispanic",16,0,1,NA,1,NA,NA,NA,NA,NA,NA
12,"Female","Non-Black, non-Hispanic",16,2,NA,1,1,10,1989,NA,NA,NA,NA
13,"Male","Non-Black, non-Hispanic",16,4,0,NA,0,12,1989,NA,NA,NA,NA
14,"Female","Non-Black, non-Hispanic",19,0,NA,0,0,NA,NA,4,1,1,1
15,"Male","Non-Black, non-Hispanic",16,4,1,NA,1,3,1997,4,1,1,2
16,"Female","Non-Black, non-Hispanic",13,3,NA,0,0,2,1990,4,1,0,2
17,"Male","Non-Black, non-Hispanic",13,0,0,NA,0,NA,NA,4,1,0,2
18,"Male","Non-Black, non-Hispanic",13,3,0,NA,0,8,1983,5,1,1,2
19,"Female","Non-Black, non-Hispanic",12,1,NA,0,0,11,1987,NA,NA,NA,NA
20,"Female","Non-Black, non-Hispanic",17,1,NA,0,0,8,1990,3,1,1,2
21,"Female","Non-Black, non-Hispanic",16,0,NA,1,1,NA,NA,4,1,1,2
22,"Female","Non-Black, non-Hispanic",16,0,NA,1,1,NA,NA,4,1,1,1
23,"Male","Non-Black, non-Hispanic",19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
